RecordType,StrategyCode,StrategyName,OptionType,AccountType,RequirementStage,RequirementText,ConditionFlags,Notes,FormulaCode,FormulaTemplate,FormulaVars
MARGIN_RULE,SH_OPT,Short options - equity/narrow/vol,Equity; ETF; ETN tracking a narrow-based index; ETN tracking a broad-based index; narrow-based index; volatility index,MARGIN,MAINTENANCE,"Maintenance = option market value + max( 20%*UnderlyingValue - OTM , Minimum ). Minimum for calls = 10%*UnderlyingValue; minimum for puts = 10%*StrikeValue.",SHORT|FORMULA_20PCT_10PCT|USE_MARKET_VALUE,,F_SHORT_EQ_MAINT,"OptionMarketValue + MAX((0.20*UnderlyingValue)-OTMValue, IF(IsPut, 0.10*StrikeAggregate, 0.10*UnderlyingValue))",OptionMarketValue;UnderlyingValue;OTMValue;IsPut;StrikeAggregate
MARGIN_RULE,SH_OPT_LEV,Short options - leveraged,Leveraged ETF (narrow-based); leveraged ETN tracking a broad-based index,MARGIN,INITIAL,Same as SH_OPT but multiply the 20% and 10% factors by leverage factor.,SHORT|LEVERAGE_FACTOR_APPLIES,Circular RG09-097 referenced for heightened requirements.,F_SHORT_EQ_LEV_INIT,"OptionProceeds + MAX(((0.20*LeverageFactor)*UnderlyingValue)-OTMValue, IF(IsPut, (0.10*LeverageFactor)*StrikeAggregate, (0.10*LeverageFactor)*UnderlyingValue))",OptionProceeds;UnderlyingValue;OTMValue;IsPut;StrikeAggregate;LeverageFactor
MARGIN_RULE,SH_OPT_LEV,Short options - leveraged,Leveraged ETF (narrow-based); leveraged ETN tracking a broad-based index,MARGIN,MAINTENANCE,Same as SH_OPT maintenance but multiply the 20% and 10% factors by leverage factor.,SHORT|LEVERAGE_FACTOR_APPLIES|USE_MARKET_VALUE,,F_SHORT_EQ_LEV_MAINT,"OptionMarketValue + MAX(((0.20*LeverageFactor)*UnderlyingValue)-OTMValue, IF(IsPut, (0.10*LeverageFactor)*StrikeAggregate, (0.10*LeverageFactor)*UnderlyingValue))",OptionMarketValue;UnderlyingValue;OTMValue;IsPut;StrikeAggregate;LeverageFactor
MARGIN_RULE,SH_OPT_BROAD,Short options - broad index,ETF tracking a broad-based index; broad-based index,CASH,INITIAL,Put: hold cash/cash equivalents = aggregate strike value OR escrow. Call: escrow.,SHORT|CASH_OR_ESCROW_REQUIRED,,F_MANUAL_TEXT,,
MARGIN_RULE,SH_OPT_BROAD,Short options - broad index,ETF tracking a broad-based index; broad-based index,MARGIN,INITIAL,"Initial = option proceeds + max( 15%*IndexValue - OTM , Minimum ). Minimum for calls = 10%*IndexValue; minimum for puts = 10%*StrikeValue.",SHORT|FORMULA_15PCT_10PCT,,F_SHORT_BROAD_INIT,"OptionProceeds + MAX((0.15*IndexValue)-OTMValue, IF(IsPut, 0.10*StrikeAggregate, 0.10*IndexValue))",OptionProceeds;IndexValue;OTMValue;IsPut;StrikeAggregate
MARGIN_RULE,SH_OPT_BROAD,Short options - broad index,ETF tracking a broad-based index; broad-based index,MARGIN,MAINTENANCE,"Maintenance = option market value + max( 15%*IndexValue - OTM , Minimum ). Minimum for calls = 10%*IndexValue; minimum for puts = 10%*StrikeValue.",SHORT|FORMULA_15PCT_10PCT|USE_MARKET_VALUE,,F_SHORT_BROAD_MAINT,"OptionMarketValue + MAX((0.15*IndexValue)-OTMValue, IF(IsPut, 0.10*StrikeAggregate, 0.10*IndexValue))",OptionMarketValue;IndexValue;OTMValue;IsPut;StrikeAggregate
MARGIN_RULE,SH_OPT_BROAD_LEV,Short options - leveraged broad index,Leveraged ETF tracking a broad-based index,MARGIN,INITIAL,Same as SH_OPT_BROAD but multiply the 15% and 10% factors by leverage factor.,SHORT|LEVERAGE_FACTOR_APPLIES|FORMULA_15PCT_10PCT,,F_SHORT_BROAD_LEV_INIT,"OptionProceeds + MAX(((0.15*LeverageFactor)*IndexValue)-OTMValue, IF(IsPut, (0.10*LeverageFactor)*StrikeAggregate, (0.10*LeverageFactor)*IndexValue))",OptionProceeds;IndexValue;OTMValue;IsPut;StrikeAggregate;LeverageFactor
MARGIN_RULE,SH_OPT_BROAD_LEV,Short options - leveraged broad index,Leveraged ETF tracking a broad-based index,MARGIN,MAINTENANCE,Same as SH_OPT_BROAD maintenance but multiply the 15% and 10% factors by leverage factor.,SHORT|LEVERAGE_FACTOR_APPLIES|FORMULA_15PCT_10PCT|USE_MARKET_VALUE,,F_SHORT_BROAD_LEV_MAINT,"OptionMarketValue + MAX(((0.15*LeverageFactor)*IndexValue)-OTMValue, IF(IsPut, (0.10*LeverageFactor)*StrikeAggregate, (0.10*LeverageFactor)*IndexValue))",OptionMarketValue;IndexValue;OTMValue;IsPut;StrikeAggregate;LeverageFactor
MARGIN_RULE,SH_PUT_CALL,Short straddle/strangle (same underlying),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),CASH,INITIAL,Escrow required for each short option leg.,STRADDLE|ESCROW_PER_OPTION,,F_MANUAL_TEXT,,
MARGIN_RULE,SH_PUT_CALL,Short straddle/strangle (same underlying),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),MARGIN,INITIAL,"Initial = greater(short put requirement, short call requirement) + proceeds of the other leg (same underlying; same index multiplier if index).",STRADDLE|GREATER_SIDE_PLUS_OTHER_PROCEEDS,Compute ShortPutRequirement and ShortCallRequirement per the applicable short option family (20% or 15%).,F_STRADDLE_INIT,"MAX(ShortPutRequirement, ShortCallRequirement) + OtherLegOptionProceeds",ShortPutRequirement;ShortCallRequirement;OtherLegOptionProceeds
MARGIN_RULE,SH_PUT_CALL,Short straddle/strangle (same underlying),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),MARGIN,MAINTENANCE,"Maintenance = greater(short put requirement, short call requirement) + market value of the other leg.",STRADDLE|GREATER_SIDE_PLUS_OTHER_MARKET_VALUE|USE_MARKET_VALUE,"Compute ShortPutRequirement and ShortCallRequirement per the applicable short option family (20% or 15%), using current option market value for the uncovered side.",F_STRADDLE_MAINT,"MAX(ShortPutRequirement, ShortCallRequirement) + OtherLegOptionMarketValue",ShortPutRequirement;ShortCallRequirement;OtherLegOptionMarketValue
MARGIN_RULE,SPR,Vertical/limited-risk spreads (standard),All listed option types (listed or OTC if spread conditions met),MARGIN,INITIAL,"If spread meets conditions (same underlying; all American or all European; all listed or all OTC; equal aggregate underlying; short expires on/before long): Initial = lesser of (short-leg requirement, MaxPotentialLoss). Long legs must be fully paid; short proceeds may apply.",SPREAD|CONDITIONS_REQUIRED|LESSER_OF_SHORT_REQ_OR_MPL,Cash account spreads restricted to European cash-settled index options with same expiration.,F_SPREAD_MARGIN,"LongPremiumPaid + MIN(ShortLegRequirement, MaxPotentialLoss)",LongPremiumPaid;ShortLegRequirement;MaxPotentialLoss
MARGIN_RULE,SPR,Vertical/limited-risk spreads (standard),All listed option types (listed or OTC if spread conditions met),MARGIN,MAINTENANCE,Maintain initial requirement.,SPREAD|MAINTAIN_INITIAL,,F_SPREAD_MARGIN,"LongPremiumPaid + MIN(ShortLegRequirement, MaxPotentialLoss)",LongPremiumPaid;ShortLegRequirement;MaxPotentialLoss
MARGIN_RULE,SPR,Vertical/limited-risk spreads (cash-account permitted subset),"European, cash-settled index options (all legs expire same time)",CASH,INITIAL,Cash/cash equivalents = MaxPotentialLoss (if any). Long legs fully paid; short proceeds may apply; escrow for cash/cash equivalents permitted.,SPREAD|CASH_ONLY_EUROPEAN_CASH_SETTLED_SAME_EXP|MPL,,F_SPREAD_CASH,LongPremiumPaid + MaxPotentialLoss,LongPremiumPaid;MaxPotentialLoss
MARGIN_RULE,BOX_LONG,Long box spread,All listed option types,MARGIN,INITIAL,"Initial = MaxPotentialLoss; long legs fully paid; short proceeds may apply. Exception: if all legs European and same expiration, eligible loan value up to 50% of aggregate strike differential; box value for margin may be capped at 100% of strike differential.",BOX|MPL|EUROPEAN_LOAN_VALUE_EXCEPTION,"If LoanValueEligible, FormulaTemplate returns eligible loan value (not a debit/credit net).",F_BOX_LONG_MARGIN,"IF(LoanValueEligible, 0.50*StrikeDiffAggregate, LongPremiumPaid + MaxPotentialLoss)",LoanValueEligible;StrikeDiffAggregate;LongPremiumPaid;MaxPotentialLoss
MARGIN_RULE,BOX_LONG,Long box spread,All listed option types,MARGIN,MAINTENANCE,Maintain initial requirement.,BOX|MAINTAIN_INITIAL,"If LoanValueEligible, maintain eligible loan value; otherwise maintain LongPremiumPaid + MaxPotentialLoss.",F_BOX_LONG_MARGIN,"IF(LoanValueEligible, 0.50*StrikeDiffAggregate, LongPremiumPaid + MaxPotentialLoss)",LoanValueEligible;StrikeDiffAggregate;LongPremiumPaid;MaxPotentialLoss
MARGIN_RULE,BOX_LONG,Long box spread (cash-account permitted subset),European cash-settled index options (all legs expire same time),CASH,INITIAL,Net debit must be fully paid (long sides paid in full; short proceeds may reduce debit).,BOX|CASH_ONLY_EUROPEAN_CASH_SETTLED_SAME_EXP|NET_DEBIT_PAID_FULL,,F_BOX_LONG_CASH,NetDebit,NetDebit
MARGIN_RULE,BOX_SHORT,Short box spread,All listed option types,MARGIN,INITIAL,Initial = MaxPotentialLoss; long legs fully paid; short proceeds may apply.,BOX|MPL,MaxPotentialLoss computed per MPL method for a 4-leg box is typically the strike differential.,F_BOX_SHORT_MARGIN,LongPremiumPaid + MaxPotentialLoss,LongPremiumPaid;MaxPotentialLoss
MARGIN_RULE,BOX_SHORT,Short box spread,All listed option types,MARGIN,MAINTENANCE,Maintain initial requirement.,BOX|MAINTAIN_INITIAL,,F_BOX_SHORT_MARGIN,LongPremiumPaid + MaxPotentialLoss,LongPremiumPaid;MaxPotentialLoss
MARGIN_RULE,BOX_SHORT,Short box spread (cash-account permitted subset),European cash-settled index options (all legs expire same time),CASH,INITIAL,Hold cash/cash equivalents = aggregate strike differential (short proceeds may apply; escrow permitted).,BOX|CASH_ONLY_EUROPEAN_CASH_SETTLED_SAME_EXP|CASH_EQUIV_EQUAL_STRIKE_DIFF,,F_BOX_SHORT_CASH,StrikeDiffAggregate,StrikeDiffAggregate
MARGIN_RULE,SH_PUT_SH_UND,Short underlying + short put,Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Not permitted in cash accounts.,NOT_PERMITTED_IN_CASH,,F_MANUAL_TEXT,,
MARGIN_RULE,SH_PUT_SH_UND,Short underlying + short put,Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Short put has 0 additional requirement; short underlying is margined as normal short sale (Reg T: proceeds + 50% of current value).,SHORT_STOCK_HEDGE|NO_EXTRA_ON_SHORT_PUT|REGT_SHORT_SALE,Any amount by which put strike exceeds market adds to initial for excess Reg T equity test.,F_SHORT_STOCK_WITH_SHORT_PUT_INIT,ShortStockInitial,ShortStockInitial
MARGIN_RULE,SH_PUT_SH_UND,Short underlying + short put,Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,"Short put has 0 additional requirement; short underlying maintenance = normal short-stock requirement, plus add-on for (put strike - market) if positive.",SHORT_STOCK_HEDGE|NO_EXTRA_ON_SHORT_PUT,"Normal short-stock maintenance add-on is typically max($5/share, 30% of market value) for stocks >= $5/share; low-price stock rules apply.",F_SHORT_STOCK_WITH_SHORT_PUT_MAINT,"ShortStockMaintenance + MAX(0,(PutStrike-UnderlyingPrice))*Contracts*Multiplier",ShortStockMaintenance;PutStrike;UnderlyingPrice;Contracts;Multiplier
MARGIN_RULE,CCOV,Covered call (long underlying + short call),Equity/ETF/ETN,CASH,INITIAL,Underlying must be fully paid; short call has 0 margin requirement.,COVERED_CALL,,F_COVERED_CALL_CASH,UnderlyingMarketValue,UnderlyingMarketValue
MARGIN_RULE,CCOV,Covered index call via qualified stock basket (cash),Equity-based index via qualified basket,CASH,INITIAL,Not permitted in cash accounts.,NOT_PERMITTED_IN_CASH|INDEX_BASKET_COVER,Index covered call via qualified basket is margin-only per schedule.,F_MANUAL_TEXT,,
MARGIN_RULE,CCOV,Covered call (long underlying + short call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Short call has 0 requirement; long underlying margined at 50% (Reg T).,COVERED_CALL|REGT_50PCT,"If using qualified index basket coverage, basket must be based on same index and basket market value must be at least equal to aggregate current index value.",F_COVERED_CALL_INIT,0.50*UnderlyingMarketValue,UnderlyingMarketValue
MARGIN_RULE,CCOV,Covered call (long underlying + short call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,Short call has 0 requirement; underlying maintenance = 25% of underlying market value.,COVERED_CALL|MAINT_25PCT,"For margin equity/loan-value purposes, underlying may be valued at min(market, call strike). Keep equity-valuation cap separate from the maintenance requirement calculation.",F_COVERED_CALL_MAINT,0.25*UnderlyingMarketValue,UnderlyingMarketValue
MARGIN_RULE,SH_IDX_CALL_LNG_ETF,Covered index call via long ETF,Narrow/broad index options (long ETF tracks same index),MARGIN,INITIAL,Short call has 0 requirement if ETF tracks same index and ETF market value >= aggregate current index value; ETF margined at 50%. ETNs/leveraged ETFs/leveraged index mutual funds not permitted.,COVERED_INDEX_CALL_WITH_ETF|REGT_50PCT,,F_COVERED_INDEX_CALL_ETF_INIT,0.50*ETFMarketValue,ETFMarketValue
MARGIN_RULE,SH_IDX_CALL_LNG_ETF,Covered index call via long ETF,Narrow/broad index options (long ETF tracks same index),MARGIN,MAINTENANCE,Short call has 0 requirement; ETF maintenance = 25% of ETF market value.,COVERED_INDEX_CALL_WITH_ETF|MAINT_25PCT,"For margin equity/loan-value purposes, ETF may be valued at min(market, call strike-equivalent). Keep equity-valuation cap separate from the maintenance requirement calculation.",F_COVERED_INDEX_CALL_ETF_MAINT,0.25*ETFMarketValue,ETFMarketValue
MARGIN_RULE,SH_CALL_CONV,Short call + long marginable convertible,Equity,CASH,INITIAL,Convertible must be fully paid; short call has 0 requirement.,CONVERTIBLE_COVER|PAID_IN_FULL,"Convertible must be immediately convertible, no money payable, and convertible must not expire before short call.",F_CONVERTIBLE_COVER_CASH,ConvertibleMarketValue,ConvertibleMarketValue
MARGIN_RULE,SH_CALL_CONV,Short call + long marginable convertible,Equity,MARGIN,INITIAL,"Short call has 0 requirement; convertible margined at 50% if immediately convertible, no money payable, and convertible does not expire before short call.",CONVERTIBLE_COVER|REGT_50PCT,,F_CONVERTIBLE_COVER_INIT,0.50*ConvertibleMarketValue,ConvertibleMarketValue
MARGIN_RULE,SH_CALL_CONV,Short call + long marginable convertible,Equity,MARGIN,MAINTENANCE,Short call has 0 requirement; convertible maintenance = 25% of convertible market value.,CONVERTIBLE_COVER|MAINT_25PCT,"For margin equity/loan-value purposes, convertible may be valued at min(market, call strike). Keep equity-valuation cap separate from the maintenance requirement calculation.",F_CONVERTIBLE_COVER_MAINT,0.25*ConvertibleMarketValue,ConvertibleMarketValue
MARGIN_RULE,SH_CALL_WAR,Short call + long marginable warrant,Equity,MARGIN,INITIAL,Short call has 0 requirement; warrant requires 100% (no loan value) + add-on if warrant exercise price > option strike; warrant cannot expire before short call.,WARRANT_COVER|NO_LOAN_VALUE|ADD_EXERCISE_OVER_STRIKE,,F_WARRANT_COVER_INIT,"WarrantMarketValue + MAX(0,(WarrantExercisePrice-OptionStrike))*Contracts*Multiplier",WarrantMarketValue;WarrantExercisePrice;OptionStrike;Contracts;Multiplier
MARGIN_RULE,SH_CALL_WAR,Short call + long marginable warrant,Equity,MARGIN,MAINTENANCE,Same as initial; warrants valued at the lower of current market value or call exercise price.,WARRANT_COVER|NO_LOAN_VALUE|VALUE_LOWER_OF_MKT_OR_CALL_EXERCISE,,F_WARRANT_COVER_MAINT,"WarrantValueCapped + MAX(0,(WarrantExercisePrice-OptionStrike))*Contracts*Multiplier",WarrantValueCapped;WarrantExercisePrice;OptionStrike;Contracts;Multiplier
MARGIN_RULE,PPRT,Protective put (long underlying + long put),Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Pay for underlying and long put in full (net debit must be fully paid).,PROTECTIVE_PUT|PAID_IN_FULL,"Cash-account establishment assumes both legs opened concurrently; if underlying is already fully paid, incremental cash is the long put premium.",F_PROTECTIVE_PUT_CASH,UnderlyingMarketValue + LongPutPremiumPaid,UnderlyingMarketValue;LongPutPremiumPaid
MARGIN_RULE,PPRT,Protective put (long underlying + long put),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Pay for long put in full; underlying margined at 50% (Reg T).,PROTECTIVE_PUT|REGT_50PCT|NO_LOAN_VALUE,Reduced maintenance treatment requires American-style put.,F_PROTECTIVE_PUT_INIT,LongPutPremiumPaid + 0.50*UnderlyingMarketValue,LongPutPremiumPaid;UnderlyingMarketValue
MARGIN_RULE,PPRT,Protective put (long underlying + long put),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,"Underlying maintenance = min( 10%*PutStrike + 100%*PutOTM , 25%*UnderlyingMarketValue ). Long put must be paid in full; must be American-style for reduced maintenance.",HEDGED_UNDERLYING|AMERICAN_REQUIRED|NO_LOAN_VALUE,,F_PROTECTIVE_PUT_MAINT,"MIN((0.10*PutStrikeAggregate)+PutOTMValue, 0.25*UnderlyingMarketValue)",PutStrikeAggregate;PutOTMValue;UnderlyingMarketValue
MARGIN_RULE,LNG_CALL_SH_UND,Hedged short stock (short underlying + long call),Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Not permitted in cash accounts.,NOT_PERMITTED_IN_CASH,,F_MANUAL_TEXT,,
MARGIN_RULE,LNG_CALL_SH_UND,Hedged short stock (short underlying + long call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Pay for long call in full; short underlying margined as normal short sale (Reg T: proceeds + 50% of current value).,HEDGED_UNDERLYING|REGT_SHORT_SALE|NO_LOAN_VALUE,Reduced maintenance treatment requires American-style call.,F_HEDGED_SHORT_STOCK_LONG_CALL_INIT,LongPremiumPaid + ShortStockInitial,LongPremiumPaid;ShortStockInitial
MARGIN_RULE,LNG_CALL_SH_UND,Hedged short stock (short underlying + long call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,"Short underlying maintenance = lower of (hedged short-stock formula, normal short-stock maintenance). Long call must be paid in full; must be American-style for reduced maintenance.",HEDGED_UNDERLYING|AMERICAN_REQUIRED|NO_LOAN_VALUE,Hedged formula (as shown in examples) uses 110%*call strike plus any call OTM amount; compare to normal short-stock maintenance requirement. Also requires maintaining 100% of short security market value at all times.,F_HEDGED_SHORT_STOCK_LONG_CALL_MAINT,"MIN((1.10*CallStrikeAggregate)+CallOTMValue, ShortStockMaintenance)",CallStrikeAggregate;CallOTMValue;ShortStockMaintenance
MARGIN_RULE,CONV,Conversion (long underlying + long put + short call),Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Pay for underlying and long put in full (net debit must be fully paid); short call has 0 requirement.,CONVERSION|PAID_IN_FULL,"Cash-account establishment assumes both long legs opened concurrently; if underlying is already fully paid, incremental cash is the long put premium (net of short call proceeds).",F_CONVERSION_CASH,UnderlyingMarketValue + LongPutPremiumPaid,UnderlyingMarketValue;LongPutPremiumPaid
MARGIN_RULE,CONV,Conversion (long underlying + long put + short call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Pay for long put in full; short call has 0 requirement; underlying margined at 50% (Reg T).,CONVERSION|REGT_50PCT|NO_LOAN_VALUE,Reduced maintenance treatment requires American-style options with same strike/expiration for call and put.,F_CONVERSION_INIT,LongPutPremiumPaid + 0.50*UnderlyingMarketValue,LongPutPremiumPaid;UnderlyingMarketValue
MARGIN_RULE,CONV,Conversion (long underlying + long put + short call),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,Underlying maintenance = 10%*Strike (same strike/expiry for put and call; American-style required). Long option paid in full; no loan value.,HEDGED_UNDERLYING|AMERICAN_REQUIRED|NO_LOAN_VALUE,"For margin equity/loan-value purposes, underlying may be valued at min(market, call strike). Keep equity-valuation cap separate from the maintenance requirement calculation.",F_CONVERSION_MAINT,0.10*StrikeAggregate,StrikeAggregate
MARGIN_RULE,REVCONV,Reverse conversion (short underlying + long call + short put),Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Not permitted in cash accounts.,NOT_PERMITTED_IN_CASH,,F_MANUAL_TEXT,,
MARGIN_RULE,REVCONV,Reverse conversion (short underlying + long call + short put),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Standard Reg T: Pay for long call in full; short put has 0 requirement; short underlying margined as normal short sale (proceeds + 50% of current value).,REVERSE_CONVERSION|REGT_SHORT_SALE|NO_LOAN_VALUE,"If (call is American-style) AND (strike < underlying sale price), reduced Reg T may apply (separate rule row).",F_REVERSE_CONVERSION_INIT_STD,LongCallPremiumPaid + ShortStockInitial,LongCallPremiumPaid;ShortStockInitial
MARGIN_RULE,REVCONV,Reverse conversion (short underlying + long call + short put) - reduced initial case,Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Reduced Reg T (conditional): Pay for long call in full; short put has 0 requirement; short underlying requirement = short sale proceeds + 10%*Strike.,REVERSE_CONVERSION|REGT_REDUCED_10PCT_STRIKE|AMERICAN_REQUIRED|CONDITIONAL_STRIKE_LT_SALE,Applies only if call is American-style AND strike < underlying sale price (per schedule).,F_REVERSE_CONVERSION_INIT_REDUCED,LongCallPremiumPaid + ShortSaleProceeds + (0.10*StrikeAggregate),LongCallPremiumPaid;ShortSaleProceeds;StrikeAggregate
MARGIN_RULE,REVCONV,Reverse conversion (short underlying + long call + short put),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,MAINTENANCE,"Short underlying maintenance = 110%*Strike, plus any put in-the-money amount (if Strike > market). Options must share strike/expiry; American-style required; long call paid in full; no loan value.",HEDGED_UNDERLYING|AMERICAN_REQUIRED|NO_LOAN_VALUE,"Also requires maintaining 100% of short security market value at all times. If not American-style, fall back to 'Short Put and Short Underlying' requirements.",F_REVERSE_CONVERSION_MAINT,(1.10*StrikeAggregate) + PutITMValue,StrikeAggregate;PutITMValue
MARGIN_RULE,COL_EQ,Collar (long underlying + long put + short call; put strike < call strike),Equity/ETF/ETN; equity-based index via qualified basket,CASH,INITIAL,Pay for underlying and long put in full (net debit must be fully paid); short call has 0 requirement.,COLLAR|PAID_IN_FULL,"Cash-account establishment assumes both long legs opened concurrently; if underlying is already fully paid, incremental cash is long put premium (net of short call proceeds).",F_COLLAR_CASH,UnderlyingMarketValue + LongPutPremiumPaid,UnderlyingMarketValue;LongPutPremiumPaid
MARGIN_RULE,COL_EQ,Collar (long underlying + long put + short call; put strike < call strike),Equity/ETF/ETN; equity-based index via qualified basket,MARGIN,INITIAL,Pay for long put in full; short call has 0 requirement; underlying margined at 50% (Reg T).,COLLAR|REGT_50PCT|NO_LOAN_VALUE,Reduced maintenance treatment requires American-style options and same expiration for put and call.,F_COLLAR_INIT,LongPutPremiumPaid + 0.50*UnderlyingMarketValue,LongPutPremiumPaid;UnderlyingMarketValue
